Date,tmin (deg C),tmax (deg C),tavg (tmin + tmax)/2
1994-08,9.79,25.49,17.64
1994-09,9.75,24.47,17.11
1994-10,4.13,15.45,9.79
1994-11,-0.83,5.77,2.47
1994-12,0.06,6.19,3.125
1995-01,1.33,7.12,4.225
1995-02,2.29,11.33,6.81
1995-03,0.97,10.89,5.93
1995-04,2.17,12.94,7.555
1995-05,5.98,18.67,12.325
1995-06,8.11,20.42,14.265
1995-07,11.31,25.47,18.39
1995-08,8.99,24.02,16.505
1995-09,10.36,23.57,16.965
1995-10,4.93,15.15,10.04
1995-11,4.91,11.65,8.28
1995-12,1.4,6.98,4.19
1996-01,0.84,6.24,3.54
1996-02,-0.49,8.11,3.81
1996-03,1.27,11.73,6.5
1996-04,3.69,13.97,8.83
1996-05,4.4,15.19,9.795
1996-06,7.16,21.14,14.15
1996-07,11.55,28.05,19.8
1996-08,10.6,27.05,18.825
1996-09,7.24,20.89,14.065
1996-10,5.01,15,10.005
1996-11,2.2,9.58,5.89
1996-12,0.54,6.15,3.345
1997-01,-0.25,6.55,3.15
1997-02,0.19,8.52,4.355
1997-03,1.27,10.26,5.765
1997-04,2.38,12.72,7.55
1997-05,7.06,20.67,13.865
1997-06,7.65,20.1,13.875
1997-07,10.2,24.81,17.505
1997-08,11.49,26.67,19.08
1997-09,9.63,22.39,16.01
1997-10,5.11,14.14,9.625
1997-11,3.91,11.07,7.49
1997-12,-0.37,6.29,2.96
1998-01,1.73,7.37,4.55
1998-02,1.55,8.64,5.095
1998-03,1.76,11.18,6.47
1998-04,2.45,13.9,8.175
1998-05,5.87,14.48,10.175
1998-06,8.24,20.82,14.53
1998-07,12.31,27.02,19.665
1998-08,10.7,27.29,18.995
1998-09,9.29,25.22,17.255
1998-10,4.97,15.35,10.16
1998-11,3.33,8.68,6.005
1998-12,-1.13,5.1,1.985
1999-01,0.65,6.8,3.725
1999-02,0.23,6.34,3.285
1999-03,0.41,9.15,4.78
1999-04,1.38,13.1,7.24
1999-05,3.49,15.46,9.475
1999-06,7.1,19.39,13.245
1999-07,9.17,24.86,17.015
1999-08,11.58,25.05,18.315
1999-09,7.42,24.67,16.045
1999-10,4.84,18.05,11.445
1999-11,4.3,11.37,7.835
1999-12,1.2,7.47,4.335
2000-01,-0.53,5.38,2.425
2000-02,1.26,8.31,4.785
2000-03,0.04,10.08,5.06
2000-04,3.28,15.68,9.48
2000-05,5.65,16.54,11.095
2000-06,8.28,22.86,15.57
2000-07,9.65,24.5,17.075
2000-08,9.44,25.88,17.66
2000-09,8.54,21.95,15.245
2000-10,5.27,15.65,10.46
2000-11,-0.24,7.94,3.85
2000-12,0.54,7.04,3.79
2001-01,-0.01,7.46,3.725
2001-02,-0.92,8.23,3.655
2001-03,1.58,11.65,6.615
2001-04,1.58,12.05,6.815
2001-05,5.05,20.15,12.6
2001-06,6.67,19.59,13.13
2001-07,9.61,24.52,17.065
2001-08,10.54,25.97,18.255
2001-09,8.6,23.91,16.255
2001-10,4.61,16.07,10.34
2001-11,3.56,10.33,6.945
2001-12,0.28,5.66,2.97
2002-01,0.12,5.67,2.895
2002-02,-0.03,9.22,4.595
2002-03,-0.34,8.96,4.31
2002-04,2.59,14.15,8.37
2002-05,4.1,16.24,10.17
2002-06,8.15,22,15.075
2002-07,10.78,27.17,18.975
2002-08,9.37,26.33,17.85
2002-09,8.13,23.9,16.015
2002-10,4.07,16.21,10.14
2002-11,2.59,11.68,7.135
2002-12,1.51,7.55,4.53
2003-01,2.72,9.59,6.155
2003-02,0.22,9.02,4.62
2003-03,2.68,10.44,6.56
2003-04,2.44,11.61,7.025
2003-05,5.09,17.08,11.085
2003-06,8.87,23.79,16.33
2003-07,10.99,28.5,19.745
2003-08,10.94,26.92,18.93
2003-09,9.64,24.45,17.045
2003-10,7.14,17.5,12.32
2003-11,0.71,7.55,4.13
2003-12,1.16,6.47,3.815
2004-01,0.4,5.97,3.185
2004-02,0.99,8.53,4.76
2004-03,2.38,13.92,8.15
2004-04,3.12,16.21,9.665
2004-05,6.32,17.3,11.81
2004-06,8.74,21.72,15.23
2004-07,11.16,27.59,19.375
2004-08,12.04,26.58,19.31
2004-09,8.53,20.05,14.29
2004-10,6.03,15.85,10.94
2004-11,1.81,9.72,5.765
2004-12,1.37,7.46,4.415
2005-01,0.48,7.46,3.97
2005-02,-0.58,10.23,4.825
2005-03,2.27,13,7.635
2005-04,2.93,13,7.965
2005-05,7.05,17.53,12.29
2005-06,7.4,18.61,13.005
2005-07,11.03,26.47,18.75
2005-08,10.63,28.02,19.325
2005-09,6.88,21.99,14.435
2005-10,6.16,15.49,10.825
2005-11,1.41,9.21,5.31
2005-12,-0.12,6.14,3.01
2006-01,1.88,7.09,4.485
2006-02,-1.1,8.29,3.595
2006-03,0.3,8.78,4.54
2006-04,2.78,14.49,8.635
2006-05,5.58,18.97,12.275
2006-06,9.61,21.94,15.775
2006-07,11.52,27.45,19.485
2006-08,9.6,26.12,17.86
2006-09,8.3,23.65,15.975
2006-10,4.2,16.23,10.215
2006-11,2.73,8.61,5.67
2006-12,-0.1,6.74,3.32
2007-01,-2,5.82,1.91
2007-02,1.29,8.57,4.93
2007-03,2.49,12.65,7.57
2007-04,2.45,13.47,7.96
2007-05,5.01,18.26,11.635
2007-06,7.83,20.62,14.225
2007-07,12.03,26.01,19.02
2007-08,10.29,24.78,17.535
2007-09,7.86,21.28,14.57
2007-10,4.68,13.45,9.065
2007-11,1.64,9.87,5.755
2007-12,-0.07,5.11,2.52
2008-01,-2,4.12,1.06
2008-02,0.19,8.64,4.415
2008-03,0.02,8.77,4.395
2008-04,0.71,11.14,5.925
2008-05,5.74,16.97,11.355
2008-06,6.33,19.73,13.03
2008-07,10.3,26.19,18.245
2008-08,11.09,25.39,18.24
2008-09,8.07,23.32,15.695
2008-10,5.09,15.38,10.235
2008-11,4.15,11.12,7.635
2008-12,-1.44,4.99,1.775
2009-01,-0.34,7.32,3.49
2009-02,-0.53,8.5,3.985
2009-03,0.13,8.15,4.14
2009-04,1.71,13.02,7.365
2009-05,5.05,18.77,11.91
2009-06,9.32,21.08,15.2
2009-07,11.56,28.01,19.785
2009-08,10.83,25.58,18.205
2009-09,9.43,23.68,16.555
2009-10,4.7,14.03,9.365
2009-11,2.16,9.34,5.75
2009-12,-2.21,4.7,1.245
2010-01,2.94,8.59,5.765
2010-02,2.09,9.77,5.93
2010-03,1.37,11.13,6.25
2010-04,2.04,12.19,7.115
2010-05,4.24,14.46,9.35
2010-06,7.64,18.34,12.99
2010-07,10.13,25.52,17.825
2010-08,10.3,25.18,17.74
2010-09,9.42,20.59,15.005
2010-10,5.94,15.79,10.865
2010-11,2.25,8.19,5.22
2010-12,1.43,6.6,4.015
2011-01,0.52,7.14,3.83
2011-02,-1.17,6.4,2.615
2011-03,1.56,8.37,4.965
2011-04,1.18,10.25,5.715
2011-05,3.74,13.83,8.785
2011-06,7.52,18.65,13.085
2011-07,9.46,22.64,16.05
2011-08,10.91,25.68,18.295
2011-09,10.24,24.77,17.505
2011-10,6.35,14.78,10.565
2011-11,1.39,8.27,4.83
2011-12,-0.81,6.84,3.015
2012-01,0.11,7.2,3.655
2012-02,0.35,7.89,4.12
2012-03,0.3,8.2,4.25
2012-04,3.55,13.63,8.59
2012-05,4.74,16.94,10.84
2012-06,7.39,18.49,12.94
2012-07,10.65,24.04,17.345
2012-08,11.07,27.12,19.095
2012-09,8.92,24.67,16.795
2012-10,5.88,16.27,11.075
2012-11,3.77,10.08,6.925
2012-12,0.72,5.51,3.115
2013-01,-1.23,5.54,2.155
2013-02,0.56,7.68,4.12
2013-03,1.75,11.38,6.565
2013-04,3.34,14.05,8.695
2013-05,6.15,17.98,12.065
2013-06,8.78,21.4,15.09
2013-07,10.74,27.59,19.165
2013-08,11.81,25.2,18.505
2013-09,10.13,20.77,15.45
2013-10,4.08,15.21,9.645
2013-11,2.56,9.9,6.23
2013-12,-2.37,4.98,1.305
2014-01,0.96,8.86,4.91
2014-02,0.2,6.52,3.36
2014-03,2.31,11.76,7.035
2014-04,3.21,14.06,8.635
2014-05,6.76,18.98,12.87
2014-06,7.92,20.44,14.18
2014-07,12.01,27.48,19.745
2014-08,12.29,27.27,19.78
2014-09,9.94,24.11,17.025
2014-10,8.06,17.92,12.99
2014-11,2.61,9.79,6.2
2014-12,2.19,7.82,5.005
2015-01,2.19,9.61,5.9
2015-02,3.37,11.81,7.59
